INDEX,Intercept,ORI1,ORI3,ENV2,CLA2,CLA3,EXC2,EXC3,NEW2,INF2,INF3,PRICE
242,5.071,0.464,0.629,0.009,0.687,-0.153,0.528,-1.599,0.014,0.579,0.705,0.75
243,4.573,0.257,0.027,-0.508,0.479,0.708,-0.105,0.22,0.172,0.761,0.99,0.247
245,3.176,0.472,-0.001,0.129,0.143,0.879,-0.536,0.157,-0.149,0.541,1.008,-0.004
246,3.436,0.788,0.765,-0.103,0.012,0.073,0.303,-1.164,-0.142,0.296,2.116,0.878
248,2.895,-0.063,-0.416,-0.302,0.487,0.246,-0.547,-0.644,0.617,1.276,3.731,0.383
251,3.566,0.346,0.56,-0.142,-0.207,-0.173,-0.514,0.863,-0.052,0.378,0.386,0.44
252,2.852,1.665,-0.16,-0.253,-1.708,0.997,0.078,-0.121,0.001,-0.434,-0.456,0.941
255,5.841,-0.153,0.336,0.445,-0.037,0.298,0.11,0.345,0.326,0.107,1.616,0.105
257,3.078,-0.111,0.323,-0.077,-0.112,-0.101,-0.012,0.31,-0.12,-0.13,2.798,-0.021
258,2.983,-0.437,1.732,0.464,-0.324,0.235,0.141,0.147,-0.1,-0.652,-1.084,1.591
265,0.973,0.382,0.773,0.466,0.596,-0.955,-0.027,-0.828,-1.198,0.166,4.538,0.432
266,4.744,0.556,-0.083,0.432,-0.347,0.185,-0.069,-0.99,0.066,0.96,0.505,0.471
267,2.426,-0.672,-0.632,-0.995,1.271,-0.393,-0.813,0.672,-0.363,0.225,2.336,1.289
269,0.716,0.31,1.014,0.658,1.221,-0.791,-0.214,-0.102,-0.314,0.146,3.001,0.101
272,3.401,-0.106,0.975,-0.17,0.113,-0.136,0.467,-1.474,0.042,0.157,0.143,0.877
273,4.779,-0.028,0.501,-0.267,-0.83,-0.387,-0.3,0.249,0.375,1.497,0.243,0.516
278,3.558,0.227,1.302,0.255,0.23,-0.42,-0.985,-1.892,0.459,0.01,-0.705,0.821
285,3.914,0.168,0.097,0.006,0.166,-0.141,0.095,0.307,0.339,-0.218,0.41,-0.153
290,6.211,1.008,0.606,-0.462,-0.691,0.032,0.912,1.01,-0.245,0.096,0.168,0.94
291,4.498,0.592,0.823,-0.174,0.808,0.802,-0.077,0.049,0.812,1.168,0.514,1.159
293,4.894,0.427,0.021,0.109,-0.141,-0.119,0.435,0.005,0.033,0.465,0.166,0.596
296,2.347,0.107,0.023,-0.523,-0.254,0.298,0.101,0.768,0.586,0.475,2.633,-0.404
297,3.064,0.536,1.088,-0.349,0.883,-0.457,-0.499,0.29,0.831,2.837,0.992,-0.271
298,3.522,0.073,0.121,-0.043,0.093,0.058,0.083,0.095,0.072,0.085,2.978,0.101
299,4.066,0.278,-0.231,-0.285,-0.068,-0.141,0.201,0.2,0.224,-0.239,0.861,0.222
300,1.905,-0.007,0.006,-0.19,-0.019,-0.012,-0.011,-0.012,-0.022,-0.035,5.809,0.017
301,0.651,0.277,0.516,0.706,-0.193,-0.842,-0.241,-1.487,-0.193,-0.322,3.368,0.622
303,7.002,0.544,0.263,-0.16,0.32,-0.145,0.259,0.363,0.131,0.346,0.287,0.361
304,0.486,0.868,0.855,-0.217,0.172,-0.204,0.015,-0.204,0.032,0.823,2.848,0.175
305,4.051,-0.752,1.065,-0.49,-1.204,-0.839,0.389,0.166,0.285,1.281,0.044,1.521
306,4.298,0.063,2.199,-0.075,0.074,0.201,-0.099,0.024,0.199,0.121,0.036,1.845
310,3.88,0.713,0.086,-0.436,0.38,0.318,-0.156,0.447,0.626,0.519,2.073,0.678
312,2.938,1.316,0.459,0.039,0.179,0.213,-0.491,-0.055,-0.112,0.78,-0.049,0.251
318,5.913,-0.193,0.314,0.107,-0.059,-0.174,0.19,0.21,0.152,0.6,0.267,0.205
319,5.242,1.081,-0.252,-0.248,0.409,-0.199,0.383,-0.526,-0.308,1.603,1.682,0.894
320,2.745,0.028,0.789,-0.201,0.474,-0.27,0.209,0.081,0.087,0.644,1.058,0.542
321,2.394,-0.515,-0.742,0.007,0.366,-1.507,-0.032,-0.361,-0.049,-0.386,0.798,0.735
325,6.158,-0.104,0.083,0.205,0.332,0.358,-0.235,-1.005,0.389,0.481,0.505,0.535
326,2.889,-0.179,0.405,-0.448,-0.414,-0.345,0.301,-0.705,-0.393,0.408,-0.055,1.051
329,6.246,-0.018,0.291,0.351,0.309,0.028,0.818,-3.799,0.146,0.511,0.178,0.414
335,1.612,0.396,0.639,-0.038,-0.028,-0.161,-0.154,-0.494,0.076,0.294,2.012,0.187
340,3.693,-0.282,0.275,0.465,0.174,0.576,0.152,-0.423,0.697,1.07,1.274,0.5
342,5.34,-0.129,1.652,-0.003,0.1,0.144,-0.276,-0.955,0.197,0.636,1.741,0.188
345,6.196,0.064,0.274,0.336,0.185,0.296,0.062,0.208,-0.043,0.289,-0.138,0.385
