INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y,Cluster
2,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1
2,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,10,1
2,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,1
2,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,1
2,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,3,1
2,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,1
2,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,10,1
2,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,1,1
3,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,0
3,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,8,0
3,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,5,0
3,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
3,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0
3,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,1,0
3,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,5,0
3,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,5,0
3,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,3,0
3,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,5,0
3,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,7,0
3,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,5,0
3,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,5,0
3,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,5,0
3,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,3,0
3,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,0
3,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,9,0
3,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,5,0
5,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,0,1
5,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,10,1
5,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,2,0,1
5,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10,1
5,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,1
5,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,2,1
5,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,10,1
5,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,2,4,1
5,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,3,0,1
5,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,3,0,1
5,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,3,1
5,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,3,1
5,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,3,0,1
5,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,3,0,1
5,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,2,3,1
5,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,2,3,1
