INDEX,CARD,ORI1,ORI2,ORI3,ENV1,ENV2,CLA1,CLA2,CLA3,EXC1,EXC2,EXC3,NEW1,NEW2,INF1,INF2,INF3,PRICE,Y
27,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,7
27,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,3
27,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,3
27,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,3
27,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,9
27,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,5
27,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,7
27,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,5
27,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,7
27,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,3
27,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,7
27,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,3
27,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,7
27,18,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,200000,3
28,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,150000,0
28,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,200000,3
28,3,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,150000,1
28,4,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,200000,1
28,5,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,100000,1
28,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,200000,3
28,7,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,100000,2
28,8,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,150000,4
28,9,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,100000,6
28,10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,100000,3
28,11,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,200000,5
28,12,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,100000,2
28,13,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,150000,3
28,14,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,150000,2
28,15,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,200000,2
28,16,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,100000,3
28,17,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,150000,2
