INDEX,CARD,OAU1,OAU2,OAU3,MTY1,MTY2,EIN1,EIN2,EIN3,SIN1,SIN2,SIN3,EFI1,EFI2,EFI3,AFI1,AFI2,AFI3,PRICE,Y
2,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
2,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,0
2,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,10
2,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
2,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
2,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,3
2,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
2,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,10
2,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,1
3,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
3,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,8
3,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,5
3,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,0
3,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,5
3,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,1
3,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,5
3,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,5
3,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,3
3,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,5
3,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,7
3,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,5
3,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,5
3,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,5
3,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,3
3,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
3,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,9
3,18,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,2000000,5
5,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2000000,0
5,2,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,30000,10
5,3,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,300000,0
5,4,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,30000,10
5,5,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,300000,0
5,6,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,300000,2
5,7,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,30000,10
5,8,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,300000,4
5,9,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,2000000,0
5,10,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,2000000,0
5,11,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,30000,3
5,12,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,30000,3
5,13,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2000000,0
5,14,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,2000000,0
5,15,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,300000,3
5,16,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,300000,3
5,17,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,30000,2
