INDEX,Intercept,OAU2,OAU3,MTY2,EIN1,EIN3,SIN2,SIN3,EFI1,EFI3,AFI2,AFI3,PRICE
225,7.841,-0.141,0.687,0.226,-1.772,0.564,0.328,-0.038,0.304,0.991,0.314,-0.547,0.73
227,5.321,0.035,-0.924,0.943,-0.197,0.63,-0.586,-0.418,0.18,1.019,0.31,-0.272,0.544
231,4.763,0.417,1.607,0.314,-0.924,0.886,1.368,0.055,-0.277,0.71,-0.101,-0.454,-0.409
232,1.363,1.253,-0.0,0.117,-0.631,1.26,1.65,-0.192,-0.085,0.914,0.127,0.562,-0.007
233,11.599,0.327,0.377,0.359,-3.68,0.318,0.251,0.373,0.372,0.336,0.357,0.362,0.353
234,1.954,0.323,-0.033,0.09,-0.11,0.78,0.398,0.135,0.126,-0.034,-0.359,0.61,0.268
238,4.126,1.372,1.421,0.636,-1.501,0.892,1.554,0.293,0.86,1.037,0.347,-0.686,0.115
240,2.891,0.652,0.686,0.568,-0.451,1.487,0.521,0.197,-0.041,0.38,0.031,-0.149,0.309
244,4.653,0.275,-0.718,-0.029,-0.781,-0.184,0.807,-0.342,0.235,0.086,0.674,-0.073,0.173
246,3.149,0.292,-0.216,0.246,-0.387,0.853,0.01,0.495,-0.433,0.411,0.283,-0.046,0.728
248,3.453,1.618,0.248,-0.924,-0.922,3.142,0.228,0.175,-0.201,0.989,0.541,-0.286,0.276
249,5.176,1.072,0.468,-0.467,-1.576,0.477,1.206,-0.971,0.317,-0.05,-0.15,1.121,0.201
250,4.531,0.879,-0.027,0.071,-0.991,1.575,0.716,-0.144,0.178,1.47,0.1,0.531,1.008
251,4.579,0.207,0.301,0.538,-1.55,0.204,1.353,0.298,0.541,0.715,0.326,0.441,-0.011
257,1.987,0.388,-0.19,-0.426,1.129,0.975,1.461,-1.284,0.444,0.277,-0.896,-0.143,0.191
258,5.553,0.333,0.33,0.203,0.563,0.216,0.12,0.319,0.229,0.283,0.045,0.175,0.149
260,2.343,0.836,-0.436,0.019,-0.909,0.387,3.485,-0.355,0.334,0.686,-0.231,0.021,-0.458
262,5.905,0.235,0.305,0.076,-0.14,-0.116,-0.167,0.539,0.271,0.674,0.346,0.185,0.175
263,1.035,-0.207,0.126,0.277,-0.24,0.15,3.542,0.512,-0.088,0.244,0.141,-0.265,-0.004
265,2.635,0.514,0.465,1.044,-0.903,1.684,3.463,-0.072,0.293,-0.469,-0.126,0.467,-0.923
266,3.274,0.594,-0.4,-0.763,-0.796,0.577,4.054,0.087,0.476,0.466,1.145,-0.812,0.476
268,4.092,0.199,-0.415,0.505,0.146,0.559,0.341,0.377,0.141,-0.256,0.57,-0.194,0.732
269,4.363,0.111,-0.595,1.262,-0.663,0.567,1.13,-0.1,1.282,0.337,0.809,-0.6,0.198
270,3.378,0.44,0.006,0.47,-0.22,0.916,2.156,-0.782,0.873,0.041,1.081,-0.029,0.287
271,4.179,-0.024,0.015,0.513,0.357,0.777,0.206,0.215,1.006,0.425,-0.142,0.375,0.154
272,2.457,-0.482,0.106,0.226,0.853,-0.272,0.351,-1.643,-0.6,0.806,-0.458,-0.175,0.298
274,1.385,1.243,-1.093,-0.175,-0.409,1.452,2.444,-0.441,-0.569,1.323,0.27,0.036,0.025
278,2.714,0.27,0.031,-0.094,-0.127,0.168,3.539,0.095,0.099,0.076,0.062,0.051,-0.094
279,2.726,0.225,0.924,0.354,-0.144,-0.511,0.046,1.728,-0.505,0.283,1.194,0.51,0.046
281,7.698,0.645,0.298,0.046,-2.38,0.288,0.402,-0.039,0.517,0.381,0.37,0.346,0.36
284,2.849,0.281,-0.174,0.423,0.009,0.394,-0.606,-0.01,-0.004,-0.146,0.569,-0.122,0.588
288,2.219,-0.455,-0.142,-0.242,-0.165,-0.36,2.984,0.748,0.162,0.391,0.059,-0.908,0.121
290,6.489,0.147,0.368,0.215,-0.353,0.034,-0.328,0.441,0.561,0.078,0.311,0.012,0.126
294,6.948,0.641,-0.21,0.488,-1.816,1.346,0.54,0.117,-0.476,1.388,0.216,0.402,1.112
295,5.516,0.358,0.739,-0.067,-0.656,0.11,0.633,-0.895,0.499,1.051,0.49,0.062,0.197
